,id,clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,MinOfUpperTRange,AverageOfUpperTRange,MaxOfLowerTRange,MinOfLowerTRange,AverageOfLowerTRange,RainingDays,AverageRainingDays,fruitset,fruitmass,seeds,yield
85,85,25.0,0.5,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.514086408,0.452630705,36.3863589,6249.47082
86,86,25.0,0.5,0.25,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.520756415,0.448463132,38.70642697,7293.53617
87,87,12.5,0.25,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.585377664,0.486003684,40.4613306,7322.60914
88,88,12.5,0.25,0.25,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.551264467,0.478135139,39.18675925,6880.7759
89,89,25.0,0.5,0.25,0.63,0.63,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.488876344,0.417947008,34.66057255,5291.89688
90,90,25.0,0.5,0.38,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.559324725,0.477778535,38.13019216,7381.3794
91,91,12.5,0.25,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.574796304,0.482807121,39.83085922,7152.13259
92,92,25.0,0.5,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.58337988,0.480106144,35.82485206,5529.06614
93,93,12.5,0.25,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.598281018,0.498478897,41.44744954,7556.10991
94,94,12.5,0.25,0.25,0.63,0.75,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.582482579,0.488568502,40.22738685,7019.69438
95,95,25.0,0.5,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.449877074,0.426678021,33.749712,4870.62537
96,96,25.0,0.5,0.25,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.407072571,0.409976942,31.13021301,4323.93099
97,97,25.0,0.5,0.25,0.75,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.52332906,0.466492143,37.20955415,6033.77856
98,98,12.5,0.25,0.38,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.611397858,0.527895672,46.58510536,7298.0026
99,99,25.0,0.5,0.25,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.429000524,0.392302807,31.11988062,4575.76991
100,100,12.5,0.25,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.459087683,0.406869398,32.6584962,5556.37228
101,101,12.5,0.25,0.38,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.551234401,0.478135139,39.4849869,6842.76056
102,102,25.0,0.5,0.25,0.63,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.517169415,0.456752669,36.01862394,6037.68613
103,103,25.0,0.5,0.38,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.561296524,0.471871207,38.6454264,6920.08427
104,104,25.0,0.5,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.463097152,0.437265704,34.13758465,5636.30874
105,105,12.5,0.25,0.25,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.631790257,0.453001484,42.73173641,7920.06175
106,106,25.0,0.5,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.386518419,0.399983862,30.35778147,4247.50893
107,107,25.0,0.5,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.510102557,0.433195442,35.27931173,6836.60081
108,108,25.0,0.25,0.25,0.25,0.25,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.315500071,0.367762987,27.40175511,3049.26032
109,109,25.0,0.5,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.378917495,0.373856466,29.64786104,3182.69865
110,110,25.0,0.5,0.25,0.75,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.509001253,0.458966196,36.3623002,6109.85047
111,111,12.5,0.25,0.25,0.63,0.75,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.574989422,0.48518887,40.17143065,7715.81088
112,112,25.0,0.5,0.38,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.535877448,0.45386752,36.68541263,6747.59779
113,113,12.5,0.25,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.500058984,0.433081146,35.48700839,6564.9583
114,114,12.5,0.25,0.25,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.533820778,0.462462315,37.52543015,6526.98819
115,115,25.0,0.5,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.539747718,0.467852649,38.143078,6475.89456
116,116,25.0,0.25,0.38,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.361519212,0.392668897,30.7671091,3813.16579
117,117,25.0,0.5,0.25,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.507541905,0.453028369,36.36293728,5862.80545
118,118,12.5,0.25,0.25,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.492693356,0.442535249,35.62231346,5817.18527
119,119,12.5,0.25,0.25,0.38,0.38,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.499992838,0.41015323,31.02764698,4945.79443
120,120,12.5,0.25,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.582482579,0.485099788,41.22334958,7243.22611
121,121,12.5,0.25,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.603493403,0.50404651,42.78112742,7829.514
122,122,25.0,0.5,0.25,0.75,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.547283352,0.466474508,37.35683231,6594.0446
123,123,25.0,0.5,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.442626748,0.42018755,32.78937613,5403.69852
124,124,25.0,0.25,0.25,0.38,0.38,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.349908358,0.388819023,28.41793063,3501.17992
125,125,25.0,0.25,0.25,0.75,0.75,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.354086468,0.388819023,28.21340501,3269.27176
126,126,25.0,0.5,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.392583006,0.397617195,30.27510191,4278.76321
127,127,12.5,0.25,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.527742687,0.438514042,36.31114278,6880.7759
128,128,25.0,0.5,0.38,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.566319234,0.470373306,39.67027165,7903.51351
129,129,25.0,0.5,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.57967639,0.498585597,41.93380223,7548.34706
130,130,25.0,0.5,0.25,0.75,0.63,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.450822025,0.410575532,32.71791783,5005.32997
131,131,25.0,0.5,0.38,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.578114733,0.485218942,40.33593654,7174.6649
132,132,25.0,0.5,0.25,0.75,0.63,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.383882188,0.393418576,29.80324762,3834.5748
133,133,12.5,0.25,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.529511192,0.436996925,36.95787336,6583.45789
134,134,12.5,0.25,0.38,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.500557995,0.424609234,35.24885567,6643.9019
135,135,25.0,0.5,0.25,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.442869304,0.424874062,33.28480863,5042.64034
136,136,25.0,0.5,0.38,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.410652063,0.408851197,31.6656798,4418.44126
137,137,12.5,0.25,0.25,0.63,0.75,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.61854944,0.50251773,44.56159301,8440.96097
138,138,25.0,0.5,0.25,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.389452628,0.381851426,29.80390835,3436.49354
139,139,12.5,0.25,0.38,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.619006054,0.527735445,44.2785829,8671.71681
140,140,25.0,0.25,0.25,0.25,0.38,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.402052391,0.401275192,30.27510191,4336.10096
141,141,12.5,0.25,0.25,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.608930974,0.502062222,42.16770498,7933.30235
142,142,25.0,0.5,0.25,0.75,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.469631675,0.434132503,34.2751629,6491.22353
143,143,25.0,0.25,0.25,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.354086468,0.388167887,29.94364365,3764.31973
144,144,25.0,0.5,0.25,0.75,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.578114733,0.482874674,36.39193423,6190.66597
145,145,12.5,0.25,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.595948108,0.495898084,41.05919357,7041.38018
146,146,12.5,0.25,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.567975637,0.463821541,39.09961353,8465.88563
147,147,25.0,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.320417393,0.376977261,27.40175511,3049.39771
148,148,25.0,0.5,0.38,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.622622866,0.519045161,45.20294287,8254.12654
149,149,12.5,0.25,0.25,0.38,0.38,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.605758307,0.451986086,37.29886067,7235.77564
150,150,25.0,0.5,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.487214901,0.449871489,38.6454264,5356.87186
151,151,12.5,0.25,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.596753394,0.491124144,41.35738644,7529.17505
152,152,25.0,0.5,0.38,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.567975637,0.483047479,39.65350945,6998.37875
153,153,12.5,0.25,0.38,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.433014308,0.438875462,32.9240208,4357.82292
154,154,25.0,0.25,0.25,0.25,0.25,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.383581787,0.391211231,30.12462708,3943.13168
155,155,12.5,0.25,0.38,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.578889093,0.482859526,39.83192591,6979.32479
156,156,25.0,0.5,0.38,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.444908279,0.425245072,33.58954163,5674.02852
157,157,25.0,0.5,0.25,0.75,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.496618271,0.448463132,35.47352652,5934.01088
158,158,25.0,0.5,0.25,0.75,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.521119725,0.454522205,36.67877702,6098.11317
159,159,12.5,0.25,0.25,0.25,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.610691292,0.503991707,42.40950749,7935.09476
160,160,25.0,0.5,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.584016198,0.482118713,39.81661146,7322.60914
161,161,12.5,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.508296527,0.449306369,36.04067528,6325.26613
162,162,37.5,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.443419908,0.398255665,31.88184658,5296.61109
163,163,12.5,0.25,0.25,0.38,0.25,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.41016336,0.410575532,31.79765098,4913.22292
164,164,25.0,0.5,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.449877074,0.42782472,34.89511705,4769.31827
165,165,25.0,0.5,0.25,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.454381334,0.42782472,33.55926075,5236.03334
166,166,25.0,0.5,0.25,0.75,0.75,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.510102557,0.453649741,37.67361372,6251.61184
167,167,12.5,0.25,0.25,0.63,0.63,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.601161249,0.498475898,41.73066669,7576.39253
168,168,25.0,0.5,0.25,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.376009787,0.390310494,29.63179631,3998.05416
169,169,12.5,0.25,0.38,0.38,0.38,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.390063353,0.409269062,30.39027791,4056.83427
170,170,12.5,0.25,0.25,0.25,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.586303901,0.490981116,40.92210139,7616.70599
