,id,clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,MinOfUpperTRange,AverageOfUpperTRange,MaxOfLowerTRange,MinOfLowerTRange,AverageOfLowerTRange,RainingDays,AverageRainingDays,fruitset,fruitmass,seeds,yield
13047,13047,12.5,0.25,0.25,0.63,0.5,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.464368945,0.412661872,33.3532206,5347.71894
7017,7017,25.0,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.451083154,0.425321524,33.44494954,4936.01177
2987,2987,25.0,0.25,0.25,0.25,0.38,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.509782413,0.450692194,36.49496278,6079.08526
2836,2836,12.5,0.25,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.578889093,0.482859526,43.33472051,8173.5891
6996,6996,25.0,0.5,0.25,0.63,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.536209474,0.463502091,37.62571268,6299.22636
1567,1567,12.5,0.25,0.38,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.583378727,0.490467439,41.93725753,7122.49056
5993,5993,25.0,0.5,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.564904359,0.461910565,37.35683231,6263.80788
9664,9664,12.5,0.25,0.38,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.489635345,0.446450716,34.76957798,5501.87808
4812,4812,12.5,0.25,0.25,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.474162324,0.436345708,32.69048727,5046.45734
9446,9446,12.5,0.25,0.25,0.75,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.6260474765,0.501568683,42.13153821,8013.62631
11786,11786,12.5,0.25,0.25,0.75,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.582604099,0.492693356,41.17620131,7443.62446
7242,7242,25.0,0.5,0.38,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.511522719,0.460322355,37.44044874,6020.87569
1875,1875,12.5,0.25,0.25,0.25,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.527308548,0.43491928,36.33661143,7933.30235
12395,12395,25.0,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.323727288,0.370480992,27.3454535,3373.43684
14574,14574,12.5,0.25,0.25,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.502785174,0.446570029,35.55891105,6072.83443
8105,8105,37.5,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.337022711,0.358821427,27.62154773,3182.69865
12259,12259,12.5,0.25,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.565324698,0.488615886,39.85898134,5966.71128
15149,15149,12.5,0.25,0.25,0.63,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.552101998,0.479010781,38.69800786,7198.42285
9247,9247,25.0,0.5,0.25,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.506742719,0.455453173,36.85236256,6010.76008
10674,10674,12.5,0.25,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.440365017,0.400102144,31.02327724,4768.59437
4091,4091,25.0,0.5,0.38,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.529070993,0.480779062,39.22848885,7270.31832
2415,2415,12.5,0.25,0.38,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.566319234,0.462697311,37.74750888,6480.80815
10542,10542,12.5,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.546174929,0.475847288,37.25124178,6528.79888
4057,4057,25.0,0.5,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.603524723,0.500647106,36.02177209,7765.25632
11260,11260,25.0,0.5,0.38,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.473142233,0.430905502,34.30007912,5336.97473
12702,12702,12.5,0.25,0.38,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.486316771,0.446575791,35.56261102,5755.70016
9759,9759,12.5,0.25,0.25,0.38,0.25,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.52661476,0.460264893,37.03174422,6026.06365
1040,1040,12.5,0.25,0.25,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.490965919,0.443504,36.04045222,5811.21147
9850,9850,25.0,0.5,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.567975637,0.485791513,39.8226933,6826.20873
10132,10132,12.5,0.25,0.25,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.488876344,0.41985155,34.97131513,5942.42162
8558,8558,12.5,0.25,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.473458531,0.438612787,34.76957798,5393.56434
4323,4323,25.0,0.5,0.25,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.561885723,0.479607332,39.50188081,6958.17479
4861,4861,12.5,0.25,0.38,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.520592483,0.431267232,35.89130977,6093.31527
2647,2647,12.5,0.25,0.38,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.4745752,0.436042539,34.68201491,6235.45278
1944,1944,25.0,0.5,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.429580755,0.405898222,32.81456057,4282.70063
11469,11469,12.5,0.25,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.5561803,0.472521274,39.67566796,6795.88187
13200,13200,12.5,0.25,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.488047919,0.448972519,35.89837298,5299.66133
15084,15084,25.0,0.5,0.38,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.477940817,0.439104197,34.89511705,5552.72387
13508,13508,12.5,0.25,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.518776342,0.434276914,36.55432716,7159.33666
7899,7899,12.5,0.25,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.578114733,0.485989695,40.39945387,7483.73632
9789,9789,12.5,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.462996546,0.402182926,32.79766623,5643.36045
8352,8352,12.5,0.25,0.25,0.38,0.38,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.435965493,0.381767872,29.07835591,3373.43684
13356,13356,25.0,0.5,0.25,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.542831206,0.463064582,37.67828481,6801.49205
7875,7875,12.5,0.25,0.38,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.594836828,0.495912854,41.19101338,7162.43364
1195,1195,25.0,0.5,0.38,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.384633032,0.435764199,30.68639758,2452.68075
8958,8958,25.0,0.5,0.38,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.397461189,0.388167887,29.97539813,4418.44126
9699,9699,25.0,0.5,0.38,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.498218761,0.448608762,35.88401108,5898.01573
400,400,25.0,0.5,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.540082008,0.463759475,37.60167915,6575.59267
9820,9820,25.0,0.5,0.25,0.63,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.466109593,0.435851115,31.67889844,5700.24324
2062,2062,12.5,0.25,0.38,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.619887727,0.514873193,43.84410679,8671.71681
4211,4211,12.5,0.25,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.599984054,0.495185183,41.78031158,7575.80124
870,870,12.5,0.25,0.38,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.546003143,0.45782887,37.29886067,7024.74836
1240,1240,12.5,0.25,0.25,0.25,0.38,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.425493214,0.402362581,31.90931611,4802.6043
5864,5864,25.0,0.5,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.498715892,0.449871489,33.749712,5867.99722
9337,9337,25.0,0.5,0.38,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.473533938,0.418219535,34.46756739,5453.99382
12018,12018,12.5,0.25,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.547283352,0.471665153,38.6254357,6771.67497
798,798,12.5,0.25,0.25,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.599023157,0.499607522,41.94865711,6583.45789
2496,2496,12.5,0.25,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.518776342,0.446434723,41.54582317,7536.09687
4685,4685,12.5,0.25,0.25,0.25,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.511750776,0.427683045,36.82658691,6188.47714
5616,5616,25.0,0.5,0.25,0.75,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.506104448,0.456066643,36.33595317,6331.86722
4306,4306,12.5,0.25,0.25,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.603371908,0.50020424,42.92385344,7715.81088
11614,11614,12.5,0.25,0.25,0.25,0.38,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.456503309,0.401236607,33.22890035,5046.45734
14569,14569,25.0,0.5,0.38,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.569329938,0.463275619,37.71251297,6615.69006
927,927,25.0,0.5,0.38,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.543722877,0.46389552,39.64669117,7706.88137
3624,3624,12.5,0.25,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.582482579,0.481173502,40.12609155,7884.56772
6305,6305,12.5,0.25,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.530291604,0.440298814,35.72822346,6255.89064
14955,14955,12.5,0.25,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.523070143,0.459224426,36.25083805,6608.04163
15279,15279,12.5,0.25,0.25,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.534126224,0.454160581,36.3863589,5934.01088
6155,6155,12.5,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.576602444,0.488527456,40.16166766,7048.87072
2340,2340,12.5,0.25,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.57467888,0.484349504,40.39442512,8104.93497
14133,14133,25.0,0.5,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.531583632,0.467558508,37.7247238,6467.65476
1117,1117,25.0,0.5,0.25,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.587319779,0.488638858,40.27592597,5911.49359
5980,5980,25.0,0.5,0.25,0.25,0.25,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.386518419,0.399983862,30.66522059,4166.29973
11326,11326,25.0,0.5,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.402838656,0.397617195,31.10924166,4162.76156
6087,6087,25.0,0.5,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.543968929,0.466492143,37.69400303,6580.39696
4531,4531,25.0,0.5,0.25,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.423038771,0.416537797,32.41723682,4710.85865
14643,14643,25.0,0.5,0.25,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.523070143,0.431267232,36.16604354,5313.37828
10425,10425,12.5,0.25,0.25,0.38,0.38,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.557536394,0.476002331,38.17459714,5686.12196
4576,4576,12.5,0.25,0.25,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.467558508,0.424657113,33.52074419,5446.69747
8084,8084,25.0,0.5,0.38,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.443419908,0.426679269,33.3406292,4813.45285
14109,14109,12.5,0.25,0.25,0.63,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.496270554,0.448256199,35.88512085,5767.17836
10252,10252,25.0,0.5,0.25,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.447668818,0.426371416,34.68201491,5402.48408
8819,8819,25.0,0.5,0.38,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.508275418,0.455880077,36.80735327,5916.86224
5543,5543,25.0,0.25,0.38,0.38,0.38,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.508275418,0.452680279,36.83081961,7558.00588
3337,3337,25.0,0.5,0.25,0.75,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.498793068,0.42403139,34.78799327,6037.68613
14222,14222,12.5,0.25,0.25,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.446626928,0.42403139,34.95797729,7998.35059
13511,13511,12.5,0.25,0.25,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.462101998,0.435291285,34.33849206,5126.99318
6581,6581,12.5,0.25,0.38,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.559324725,0.459383737,38.04275581,8247.52116
12940,12940,12.5,0.25,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.575902218,0.486816771,40.2744187,7215.40971
10121,10121,12.5,0.25,0.25,0.75,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.576469662,0.482874674,39.7419306,7044.56761
6166,6166,25.0,0.5,0.38,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.427005551,0.395562327,30.11060535,4590.82334
13832,13832,25.0,0.5,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.550116044,0.471871207,38.6454264,7085.06308
6580,6580,12.5,0.25,0.25,0.75,0.5,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.394168935,0.391617371,30.11060535,3923.90628
1687,1687,12.5,0.25,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.638323095,0.527895672,45.06919216,8465.88563
8731,8731,25.0,0.5,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.470881648,0.413625114,33.87425241,6465.37205
7310,7310,12.5,0.25,0.38,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.566319234,0.467219599,39.78488765,6564.9583
15123,15123,12.5,0.25,0.25,0.63,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.566355374,0.463020067,36.97636061,6249.47082
9383,9383,25.0,0.5,0.25,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.334220017,0.377888031,28.87371362,3501.17992
1542,1542,25.0,0.5,0.25,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.38895631,0.399556226,30.057704,4356.94587
581,581,25.0,0.5,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.5138891,0.456066643,37.96058614,6451.10052
13510,13510,12.5,0.25,0.25,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.425010896,0.43494618,31.78135831,4888.50303
5944,5944,25.0,0.5,0.25,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.454737417,0.41985155,33.55926075,5246.52146
4039,4039,25.0,0.5,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.521523421,0.467558508,37.87903588,6500.09778
12174,12174,25.0,0.5,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.465199368,0.427430828,34.0390339,4568.67217
7086,7086,25.0,0.5,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.502785174,0.452680279,36.88084855,6493.25828
864,864,25.0,0.5,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.556294925,0.454160581,38.3054111,6795.88187
10623,10623,12.5,0.25,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.566355374,0.437059532,35.56261102,6922.84679
3314,3314,25.0,0.5,0.25,0.75,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.565239387,0.478162473,39.33777176,6830.96605
7016,7016,25.0,0.5,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.545028739,0.445498441,37.33451161,6862.90839
9412,9412,12.5,0.25,0.25,0.38,0.25,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.61854944,0.508131009,42.17176453,8671.71681
7175,7175,25.0,0.5,0.38,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.474162324,0.435291263,34.7014352,5696.02606
2175,2175,25.0,0.5,0.25,0.75,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.476054066,0.424609234,33.84753901,5649.03716
13881,13881,25.0,0.5,0.25,0.63,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.47771355,0.43910209,34.64257354,5428.10602
2678,2678,25.0,0.5,0.25,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.407072571,0.409248903,31.70230081,4587.38557
15146,15146,12.5,0.25,0.38,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.398976956,0.40166998,30.76383531,4062.73953
4509,4509,25.0,0.5,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.490242145,0.448946243,35.50564628,5695.56442
6198,6198,25.0,0.5,0.25,0.75,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.429000524,0.391211231,31.64262219,5005.32997
6937,6937,25.0,0.5,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.449877074,0.398804938,31.80685608,7024.74836
12438,12438,12.5,0.25,0.25,0.25,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.53990422,0.468896154,38.19630554,5954.51315
2659,2659,25.0,0.5,0.25,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.545028739,0.473660277,38.94515185,6754.44894
925,925,25.0,0.5,0.25,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.468305902,0.430113965,32.68039834,5684.14351
12032,12032,12.5,0.25,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.474162324,0.437265704,34.5553911,5462.13394
2759,2759,12.5,0.25,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.496019026,0.445308404,36.67877702,6107.38247
10207,10207,25.0,0.5,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.477940817,0.439395296,34.61618557,5722.57676
2532,2532,12.5,0.25,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.468192461,0.430077888,33.87425241,5663.06579
61,61,37.5,0.75,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.402052391,0.402226397,31.10161493,4576.10071
7455,7455,12.5,0.25,0.25,0.25,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.53255682,0.422051395,37.37301202,6514.63899
12284,12284,12.5,0.25,0.25,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.579179402,0.484349504,40.22738685,7041.38018
8112,8112,25.0,0.5,0.38,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.508341786,0.459464772,37.78237359,6150.84205
13596,13596,25.0,0.5,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.449875425,0.393418576,32.76315093,4769.31827
9974,9974,12.5,0.25,0.25,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.583378727,0.495798084,40.48700839,7443.62446
7907,7907,25.0,0.5,0.38,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.509158377,0.441974474,36.94898618,6109.85047
777,777,25.0,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.434666745,0.416537797,32.28899894,4898.83586
15277,15277,25.0,0.5,0.25,0.75,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.436893878,0.389204379,31.13586876,5865.38472
9362,9362,25.0,0.5,0.38,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.467569149,0.432109831,35.82485206,5150.94289
15119,15119,12.5,0.25,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.594206083,0.493257523,41.35738644,7517.44077
12713,12713,12.5,0.25,0.25,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.489723491,0.445497348,35.48700839,5628.71053
5605,5605,12.5,0.25,0.25,0.25,0.38,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.496636394,0.430330293,35.39214139,5715.0084
14376,14376,25.0,0.5,0.38,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.520637077,0.462760521,37.20361319,6277.16867
9429,9429,25.0,0.5,0.38,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.550864261,0.476928353,39.92318644,6979.32479
9031,9031,25.0,0.5,0.38,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.553663086,0.472468254,38.52587501,6754.44894
7477,7477,25.0,0.5,0.25,0.75,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.576561833,0.490020262,40.63849594,7016.89385
1843,1843,25.0,0.5,0.25,0.63,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.489823352,0.447597174,35.92331365,5791.45673
938,938,25.0,0.5,0.25,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.490242145,0.41985155,34.20555034,4920.13663
3517,3517,25.0,0.25,0.38,0.38,0.38,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.402052391,0.401236607,30.5255093,4178.77206
13643,13643,12.5,0.25,0.25,0.38,0.38,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.325920891,0.379871916,28.28409524,3139.43255
13198,13198,12.5,0.25,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.555726691,0.476928353,39.46756134,6626.50685
7634,7634,25.0,0.5,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.5143032,0.456066643,36.49496278,6327.00807
8649,8649,12.5,0.25,0.25,0.63,0.75,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.52661476,0.424874062,35.78113923,6024.94599
8035,8035,12.5,0.25,0.38,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.601357636,0.50251773,42.24537298,7576.39253
625,625,12.5,0.25,0.25,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.506987743,0.458966196,35.2629303,5867.99722
5240,5240,12.5,0.25,0.25,0.25,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.509158377,0.442535249,36.16604354,6097.44285
10412,10412,12.5,0.25,0.25,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.404225284,0.40166998,31.07883034,4228.81888
7905,7905,12.5,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.576602444,0.482874674,39.60776777,7532.82953
11795,11795,12.5,0.25,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.583378722,0.481279313,40.17143065,7236.09025
3596,3596,12.5,0.25,0.38,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.458246439,0.402855862,31.78225878,5865.38472
2002,2002,12.5,0.25,0.25,0.25,0.25,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.529070993,0.432226587,37.96686445,7423.46988
